abbreviate	v.缩写；缩短；缩写为；简称
canny	adj.（尤指在商业或政治方面）精明谨慎的
incontrovertible	adj.无可争辩的；不能否认的；无可置疑的
prosaic	adj.平庸的；没有诗意（或美感）的；平淡的；乏味的
omnipresent	adj.无所不在的；遍及各处的
arcane	adj.神秘的；晦涩难懂的
substantiate	v.证实；证明
forerunner	n.先行者；先驱；预兆；前兆
alienate	v.离间；使疏远；使不友好；使（与某群体）格格不入
disregard	v.漠视；不理会；不顾n.漠视；忽视
contrive	v.（不顾困难而）设法做到；（克服困难）促成某事；巧妙地策划
tenure	n.任期；(土地,资产等)保有权；终身教席
paradigm	n.范例；〈正式〉模型；〈正式〉模范；【语】词形变化表
impede	v.阻碍；阻止
misnomer	n.使用不恰当（或不准确）的名称；用词不当
restraint	n.约束；抑制；克制；限制
coherent	adj.合乎逻辑的；有条理的；清楚易懂的；有表达能力的
austere	adj.朴素的；简陋的；无华饰的；严肃的
formulaic	adj.由固定套话堆砌的；公式化构思的
exactitude	n.准确性；精确性；严密性
neophyte	n.新手；初学者；生手；刚接受新宗教信仰的人
console	v.安慰；抚慰；慰藉n.操纵台
adulation	n.奉承；称赞；吹捧
peremptory	adj.强硬的；强制的；不容分辩的
reparable	adj.可修补的；可赔偿的；应由(某人)修理[赔偿]的
presage	n.预示；前兆；预感；先见(之明)v.预言（尤指不祥之事）
unremitting	adj.不停的；不懈的；持续不断的
bemoan	v.哀怨；悲叹
underscore	n.下划线v.强调；在…下面划线
jubilant	adj.喜气洋洋的；欢欣鼓舞的；欢呼雀跃的
renounce	v.声明放弃；宣布放弃；宣布与…决裂；宣布摒弃
verbose	adj.冗长的；啰嗦的；唠叨的
rapacious	adj.贪婪的；贪欲的；强取的
calamity	n.灾难；灾祸
confound	v.使困惑惊讶；使惊疑；证明…有错；战胜（敌人）
replicate	v.复制；（精确地）仿制；再造；再生adj.【植】折转的n.【统】重复实验中的一次
cogent	adj.有说服力的；令人信服的
supplement	v.补充；增补n.补遗；增补（物）；补充（物）；添加物
rebound	v.反弹；回升；弹回；报应n.复兴；反弹球；回弹球；抢篮板球
retrench	v.紧缩开支；节约；缩减（人员）
buttress	n.支墩；扶壁v.支持；给…以力量
nullify	v.使失去法律效力；废止；使无效；抵消
inflate	v.膨胀；使充气；鼓吹；吹捧
dismissive	adj.轻蔑的；鄙视的
rehabilitate	v.修复；使（重病患者）康复；使（长期服刑者）恢复正常生活
engross	v.使全神贯注；占去（某人的）全部注意力和时间
hierarchy	n.层次体系；等级制度（尤指社会或组织）；统治集团
appropriate	v.拨款；剽窃；挪用；〈正式〉非法占有adj.恰当的
genuine	adj.真的；名副其实的；真诚的；诚实的
coronation	n.加冕；加冕典礼
coup	n.政变；努力办到难办的事
astrology	n.占星术；占星学
abrogate	v.废除
upend	v.翻倒；倒放；使颠倒
overblown	adj.过分的；夸张的；虚饰过度的；残败的v.“overblow”的过去分词
rectitude	n.公正；正直；诚实
moribund	adj.行将灭亡的；即将倒闭的；濒于崩溃的；垂死的n.将死的人
diatribe	n.（无休止的）指责；（长篇）抨击
fad	n.一时的风尚；短暂的狂热abbr.(=flavin adenine dinucleotide)【生化】黄素腺嘌呤二核苷酸
inhibit	v.抑制；阻止；阻碍；使拘束
precipitate	n.沉淀物；析出物adj.鲁莽的；草率的；仓促的v.使…突然降临；加速（坏事的发生）；使突然陷入（某种状态）
artifice	n.诡计；奸计
immaterial	adj.无关紧要；不重要；无形体的；非物质的
expansive	adj.广阔的；辽阔的；浩瀚的；广泛的
sinister	adj.邪恶的；险恶的；不祥的；有凶兆的
prefigure	v.预示；预兆
encompass	v.包含；包围；围绕；围住
imprudent	adj.不明智的；不谨慎的
pliable	adj.易弯曲的；柔韧的；易受影响的；可塑的
amenable	adj.顺从的；顺服的；可用某种方式处理的
melancholy	n.〈文学〉忧愁adj.〈文学〉忧郁的
rhapsody	n.狂想曲；（言语或文字的）狂热表达
futile	adj.徒然的；徒劳的；无效的
query	n.询问；疑问；问号v.询问；怀疑；表示疑虑
prototype	n.原型；雏形；最初形态
exorbitant	adj.过高的；高得离谱的
intermittent	adj.断断续续的；间歇的n.【医】同“intermittent fever”
ameliorate	v.改进；改善；改良
deviate	v.偏离；背离；违背adj.脱离常轨的n.脱离常轨的人
annexation	n.合并；附加；吞并物
accolade	n.荣誉；赞扬；表扬；奖励
prodigy	n.奇才；壮举
prejudice	n.偏见；成见v.损害；使怀有（或产生）偏见；有损于
stem	n.（花草的）茎；柄；（高脚酒杯的）脚；烟斗柄adj.有茎[梗]的；装有小柄的；去掉茎(或梗)的；去掉茎[梗,柄]的v.阻止；封堵；遏止abbr.(=Scanning transmission electron microscope)扫描透射式电子显微镜
evanescent	adj.瞬息即逝的；迅速遗忘的
loon	n.潜鸟（北美食鱼大鸟，叫声似笑声）v.闲荡
pompous	adj.虚华的；言辞浮夸的
arbitrary	adj.任意的；武断的；随心所欲的；专横的
atypical	adj.非典型的
implement	v.实施；执行；贯彻；使生效n.工具
ancillary	adj.辅助的；补充的；附属的；附加的n.〈英〉助手
respite	n.喘息；暂停；暂缓；短暂的延缓v.缓期执行(死刑)；使缓和一下；【军】停付(军人)薪饷；停付(薪金)
veneer	n.饰面薄板；虚假的外表；虚饰v.覆盖
impecunious	adj.贫穷的；不名一文的
agreeable	adj.愉悦的；讨人喜欢的；宜人的；欣然同意
ramble	v.漫谈；漫游；闲聊；瞎扯n.漫步；散步；杂乱无章的长篇大论
elaborate	v.精心制作；详尽阐述；详细描述；详细制订adj.复杂的；详尽的；精心制作的
increment	n.增量；定期的加薪；增加
disavow	v.否认；不承认；拒绝对…承担责任
stance	n.立场；（尤指体育运动中的）站立姿势
hortatory	adj.劝告的；忠告的；激励的；鼓励性的
sate	v.满足（欲望）
antecedent	n.先行词；前事；前情；祖先adj.先前的
sentiment	n.情绪；看法；柔情
garble	v.断章取义；无意中歪曲[混淆](事实,意思等)；筛选
assuage	v.减轻（不快）
impetuous	adj.鲁莽的；冲动的；轻率的
prescience	n.预知
archetype	n.典型
involuntary	adj.无意识的；不自觉的；非自愿的；非本意的
grandstand	n.大看台v.〈口〉为博取观众喝采而卖弄技巧
vex	v.使恼火；使烦恼；使忧虑
expedient	adj.权宜之计；得当；可取；合宜n.权宜之计；应急办法
forgo	v.弃绝（想做的事或想得之物）
odds	n.可能性；胜算；不和；不平等(的东西)
delude	v.欺骗；哄骗
sparse	adj.稀少的；稀疏的；零落的
dispense	v.分配；分发；提供（尤指服务）；配（药）
nondescript	adj.无特征的；平庸的；毫无个性的n.不三不四的
appease	v.安抚；抚慰；绥靖（满足另一国的要求以避免战争）
adverse	adj.不利的；有害的；反面的
enviable	adj.令人羡慕的；引起忌妒的
cavalier	n.骑士；(某种)勋章获得者；骑士风度的男子adj.漫不经心的；不在乎的v.(对女子)有骑士风度的；态度傲慢
clumsy	adj.笨拙的；不灵巧的；无技巧的；冒犯人的
sensationalism	n.（指行文或报道）耸人听闻
amorphous	adj.无固定形状的；不规则的；无组织的
construe	n.解释；【语】语法分析；分析练习句；直译v.理解；领会
volatile	adj.易变的；无定性的；无常性的；可能急剧波动的
capacious	adj.容量大的；容积大的；宽敞的
corroborate	v.证实；使(信仰等)坚定；使加强
rife	adj.普遍；充斥
cunning	n.狡猾；诡诈；狡黠adj.狡猾的；奸诈的；诡诈的；灵巧的
pugnacious	adj.爱争执的；好斗的；爱滋事的
resurrect	v.重新应用；恢复使用；使复兴；起死回生
remunerative	adj.报酬丰厚的
epitomize	v.成为…的典范（或典型）
metaphor	n.隐喻；暗喻
monogamy	n.一夫一妻（制）；单配偶；单配性
broach	n.拉刀；【机】三角锥；钻头；扩孔器v.引入（尤指令人尴尬或有异议的话题）
bewilder	v.使迷惑；使糊涂
fusty	adj.腐臭的；霉湿味的；过时的；守旧的
intricate	adj.错综复杂的
conundrum	n.令人迷惑的难题；复杂难解的问题；谜语
foster	v.培养；促进；鼓励；助长n.福斯特；【姓氏】福斯特；【男名】男子名adj.与某些代养有关的名词连用
excoriate	v.擦伤；严厉指责；痛斥
facet	n.方面；（宝石的）小平面
ingenuous	adj.单纯的；天真的
conviction	n.定罪；坚信；深信；判罪
monolithic	adj.庞大的；巨石的；整体(式)的；铁板一块的
acquiesce	v.默认；默许；默然接受；顺从
truism	n.老生常谈；不言而喻的道理；自明之理
scandalous	adj.可耻的；不可原谅的；讲述丑闻的
axiom	n.公理
dissent	n.异议；不同意见v.（对官方意见）不同意
undergird	v.(用绳索等)从底层捆牢[加固]；对…给予支持[提供雄厚基础]
mawkish	adj.无病呻吟的；自作多情的；多愁善感的
dichotomy	n.一分为二；二分法
ironic	adj.反语的；讽刺的；（因出乎意料而）奇怪的
dire	adj.极其严重的；危急的；极糟的；极差的
feasible	adj.可行的；行得通的
diligence	n.勤奋；勤勉；用功
upbeat	n.向上的趋势；向上摆动；【乐】弱拍；(指挥棒)向上挥舞(以示弱拍)adj.乐观的；快乐的；积极向上的
caricature	n.人物漫画；夸张的描述；漫画艺术；漫画手法v.把…画成漫画；滑稽地描述
heretofore	adv.在这之前
robust	adj.强健的；强壮的；结实的；耐用的
disgorge	v.大量涌出；倾泄出；（从交通工具、建筑物里）涌出
fastidious	adj.一丝不苟的；严谨的；讲究整洁的；有洁癖的
spontaneous	adj.自发的；非筹划安排的；常心血来潮的；自然的
impair	v.损害；削弱
lacuna	n.空白
transgress	v.越轨；违背（道德）；违犯（法律）
grind	v.碾碎；磨碎；把…磨成粉；磨（粉）n.令人疲劳（或厌倦）的工作；苦差事；刺耳的摩擦声
coterie	n.（志趣相同、合伙做事而排外的）小圈子
bombast	n.华而不实的言辞；大话adj.夸大的
abet	v.支持；教唆；唆使；助长
abashed	adj.羞愧的；困窘的；不安的v.abash的过去式和过去分词形式
prevaricate	v.支吾搪塞；闪烁其词；吞吞吐吐
fathom	v.理解；彻底了解；弄清真相n.英寻（测量水深单位，合 6 英尺或 1.8 米）
inquisitive	adj.过分打听他人私事的；好学的；好奇的；兴趣广泛的n.好询问的人
nimble	adj.敏捷的；灵活的；灵巧的；机灵的
foresight	n.先见之明；深谋远虑
despotic	adj.专横的
affluent	adj.富裕的n.支流
validate	v.确认；证实；批准；确证
condescend	v.屈尊；俯就；（对某人）表现出优越感
impervious	adj.不受影响的；不能渗透的；不透气的；不透水的
manipulate	v.操纵；使用；正骨；治疗脱臼
brazen	adj.厚颜无耻的；黄铜制的；黄铜色的v.厚着脸皮干 (out, through)
obsess	v.使痴迷；使迷恋；使着迷；唠叨
deplete	v.耗尽；大量减少；使枯竭
inclement	adj.恶劣的（指寒冷的、潮湿的等）
commensurate	adj.（在大小、重要性、质量等方面）相称的
assiduous	adj.兢兢业业的；勤勤恳恳的
methodical	adj.有条理的；有条不紊的；办事有条不紊的
attribute	n.属性；象征v.把…归因于；认为…属于；认为某人(某物)具有某种特性
downplay	v.对…轻描淡写；使轻视；贬低
perfunctory	adj.敷衍的；例行公事般的；潦草的
decry	v.（公开）谴责；（强烈）批评
lugubrious	adj.阴郁的；悲伤的
heartfelt	adj.衷心的；真诚的
jarring	n.缸；坛子；（玻璃）罐子；广口瓶v.受震动而疼痛；（对…）产生不快的影响；使烦躁；（与…）不协调
flippant	adj.轻率的
fractious	adj.暴躁的；易怒的；动辄烦躁的；捣乱的
seamy	adj.污秽的；肮脏丑恶的
ebullient	adj.充满自信的；精力充沛的；热情洋溢的
requisite	adj.必需的；必备的；必不可少的n.必需的事物
mercurial	adj.多变的；变幻莫测的；活泼的；机智的n.汞制剂
defy	v.蔑视；违抗；反抗；无法（相信、解释、描绘等）
protracted	adj.拖沓的
obstinate	adj.执拗的；固执的；顽固的；棘手的
enervate	adj.同“enervated”v.使感到衰弱（或虚弱、无力）
sordid	adj.卑鄙的；丑恶的；无耻的；肮脏的
hedonism	n.【哲】享乐主义
divulge	v.泄露
enamored	adj.〈正式〉迷恋的；爱上…的
revelation	n.披露；揭露；被暴露的真相；被曝光的秘闻adj.暴露的；显示的；启示的；意外发现的
vestige	n.遗迹；残留部分；（通常用于否定句）丝毫
tautology	n.同义反复；赘述
attenuate	adj.稀薄的；细的；减弱的；【植】渐尖的v.使减弱；使降低效力
surreptitious	adj.秘密的；趁人不注意赶紧进行的
irritate	v.使烦恼（尤指不断重复的事情）；刺激（皮肤或身体部位）
averse	adj.不喜欢的；反对的；不想做的
hedge	n.树篱；防止损失（尤指金钱）的手段v.避免正面回答；不直接许诺；拐弯抹角；在（田地等周围）植树篱adj.树篱的；名声不好的；低劣的
scrupulous	adj.仔细的；细致的；一丝不苟的；审慎正直的
rescind	v.撤销；废除；取消
ramification	n.（众多复杂而又难以预料的）结果
antidote	n.解毒药；解毒剂；消除不快的事物；矫正方法
paraphrase	n.释义；解释；意译v.释义
generic	adj.一般的；普通的；通用的；无厂家商标的n.同“a generic drug”
catastrophic	adj.大突变(灾难)的；悲惨结局的
acerbic	adj.尖酸的；尖刻的
tonic	n.补药；滋补品；汤力水（一种味微苦、常加于烈性酒中的有气饮料）adj.滋补的；使精神振作的；【乐】主音的；【医】强直的
imperturbable	adj.冷静的；沉着的
innocuous	adj.无恶意的；无意冒犯的；无害的；无危险的
dampen	v.抑制；弄湿；使潮湿
shun	v.避开；避免；回避
adroit	adj.机敏的
waive	v.放弃（权利、要求等）
discreet	adj.（言行）谨慎的；考虑周到的
disparage	v.贬低；轻视
fleet	n.舰队；车队；海军；捕鱼船队adv.浅v.掠过；【航】(船员)变换位置；消磨(时间)；【航】变换(位置)adj.跑得快的；快速的
impugn	v.对…表示怀疑；置疑
consequential	adj.随之而来的；相应发生的；作为结果的；重要的
benevolent	adj.慈善的；行善的；乐善好施的；用于慈善机构名称
meager	adj.(人,动物等)瘦的；(土地)不毛的；贫弱的；思想贫乏的
ungainly	adj.笨手笨脚的；（举止）不雅观的
defer	v.推迟；延缓；展期
resourceful	adj.机敏的；足智多谋的；随机应变的
escalate	v.不断恶化
acquittal	n.宣告无罪；无罪的判决
loquacious	adj.话多的；健谈的；喋喋不休的
enterprise	n.企业；事业；公司；企业经营
stratified	v.“stratify”的过去式
obtrude	v.强行闯入；搅扰
temper	n.脾气；情绪；心情；性情v.使缓和；使温和；使（金属）回火
deplore	v.公开谴责；强烈反对
detach	v.脱离；拆卸；离开；挣脱
perishable	adj.易腐烂的；易变质的n.易腐败的东西
lurid	adj.俗艳的；花哨的；（故意地）骇人听闻的
acute	adj.十分严重的；（疾病）急性的；灵敏的；敏锐的
doodle	n.涂鸦v.信手涂鸦
celerity	n.敏捷；〈书〉(行动的)迅速
mock	v.嘲笑；（模仿）嘲弄；不尊重；蔑视adj.虚假的；不诚实的；模仿的；模拟的n.（英国）模拟考试
corollary	n.必然的结果（或结论）
embellish	v.美化；装饰；布置；对…加以渲染（或发挥）
counterproductive	adj.事与愿违；产生相反效果；适得其反
insular	adj.只关心本国利益的；思想褊狭的；保守的；海岛的
convulsion	n.抽搐；痉挛；动乱；骚动
precursor	n.先驱；先锋；前身
base	n.根基；基底；底座；根据adj.卑鄙的；不道德的v.以…为据点（或大本营等）；把（总部等）设在
adjunct	n.附件；附加语；修饰成分；附属物adj.附属的 (to； of)
incisive	adj.锐利的；透彻的；果断的；当机立断的
hyperbole	n.夸张
comity	n.礼貌
regress	n.回归；退化；【天】同“regression”；【法】复归(权)v.回归；倒退；退化
disguise	v.伪装；掩饰；假扮；装扮n.伪装；假扮；装扮；伪装物
countenance	n.面容；脸色；面部表情v.支持；赞成；同意
platitude	n.陈词滥调；老生常谈
insouciant	adj.漫不经心的
ingenious	adj.精巧的；有创意的；机智的；有心计的
amplify	v.放大；阐发
nascent	adj.新生的；萌芽的；未成熟的
hazard	n.危害；危险v.试着提出；大胆猜测；冒…的风险；使处于危险中
feckless	adj.品格差的；不负责任的
